1,2,400,13,,6665,4982,3565
1,1,5,0,,15,,
1,1,40,4,,911,536,288
2,0,300,12,,5336,4220,3682
2,1,500,14,,9037,7411,5939
0,3,600,15,,10968,8856,6934
2,2,20,2,,373,75,
0,2,90,9,,1785,1275,983
2,0,200,11,,3626,2992,2601
0,1,900,18,,15610,13163,11565
2,0,800,17,,14283,11990,9443
1,3,70,7,,1451,1065,721
0,0,80,8,,1667,1202,911
0,2,700,16,,12392,10276,8681
1,2,100,10,,1917,1539,1130
1,1,30,3,,697,369,122
2,3,50,5,,1153,774,526
0,1,10,1,,23,,
1,2,1000,19,,16058,10922,5194
2,1,60,6,,1368,986,653
