0,3,700,16,,8849,4521,1955,,,
2,0,50,5,,1106,753,480,,,
0,1,80,8,,1618,1078,825,,,
0,1,500,14,,8924,6970,5422,,,
2,0,5,0,,11,,,,,
0,1,20,2,,312,27,,,,
0,0,800,17,,14621,11444,10013,,,
1,3,300,12,,5506,4475,3438,,,
1,3,30,3,,683,321,111,,,
0,3,1000,19,,17131,14578,12674,,,
1,1,400,13,,7131,5736,4696,,,
0,3,10,1,,37,,,,,
1,2,60,6,,1341,939,724,,,
2,2,900,18,,16123,13641,11712,,,
2,2,100,10,,2010,1595,1294,,,
2,1,90,9,,1904,1397,1081,,,
2,3,600,15,,11013,8747,7618,,,
2,2,40,4,,874,558,316,,,
2,1,70,7,,1516,1063,793,,,
2,2,200,11,,3614,2807,2424,,,
