0,0,40,4,,898,515,258
2,2,600,15,,9367,6810,3655
2,0,20,2,,363,64,
2,3,800,17,,13177,10262,6376
0,1,300,12,,5425,4303,3359
2,2,500,14,,8951,7581,5978
2,2,10,1,,,,
0,1,200,11,,3708,2889,2258
2,3,60,6,,1348,967,692
1,1,1000,19,,17371,14815,13237
0,1,400,13,,7144,5776,4754
1,2,30,3,,679,348,95
1,2,50,5,,1079,713,438
0,3,5,0,,,,
0,1,700,16,,12641,10107,9096
2,2,70,7,,1481,1032,832
1,2,80,8,,1625,1177,896
1,1,100,10,,1901,1456,1068
1,2,900,18,,14752,10637,5949
2,0,90,9,,1822,1418,1108
